Gene_ID	Annotation
C1G01020.1	GO:0005739
C1G01030.1	GO:0005634
C1G01040.2	GO:0005634
C1G01050.1	GO:0005737
C1G01050.1	GO:0005829
C1G01060.1	GO:0005634
C1G01080.2	GO:0009507
C1G01080.2	GO:0009507
C1G01090.1	GO:0009941
C1G01090.1	GO:0009570
C1G01090.1	GO:0009941
C1G01090.1	GO:0009570
C1G01090.1	GO:0005739
C1G01090.1	GO:0009941
C1G01090.1	GO:0009570
C1G01090.1	GO:0009507
C1G01090.1	GO:0009941
C1G01090.1	GO:0009941
C1G01090.1	GO:0009941
C1G01090.1	GO:0009570
C1G01090.1	GO:0009941
C1G01090.1	GO:0009941
C1G01100.1	GO:0022626
C1G01100.1	GO:0005737
C1G01100.1	GO:0005829
C1G01100.1	GO:0005886
C1G01100.1	GO:0022626
C1G01100.1	GO:0022626
C1G01100.1	GO:0022626
C1G01110.2	GO:0005634
C1G01120.1	GO:0022626
C1G01120.1	GO:0022626
C1G01120.1	GO:0022626
C1G01120.1	GO:0022626
C1G01140.3	GO:0005886
C1G01150.1	GO:0005634
C1G01160.2	GO:0005634
C1G01170.1	GO:0005739
C1G01170.1	GO:0016020
C1G01200.1	GO:0005634
C1G01200.1	GO:0005634
C1G01210.1	GO:0005634
C1G01220.1	GO:0005737
C1G01225.1	GO:0005634
C1G01230.1	GO:0005739
C1G01240.1	GO:0005739
C1G01250.1	GO:0005634
C1G01260.1	GO:0005634
C1G01300.1	GO:0005576
C1G01300.1	GO:0016020
C1G01305.1	GO:0005739
C1G01310.1	GO:0005576
C1G01320.1	GO:0005737
C1G01340.2	GO:0005886
C1G01350.1	GO:0005634
C1G01355.1	GO:0005634
C1G01360.1	GO:0005634
C1G01370.1	GO:0005634
C1G01370.1	GO:0000785
C1G01380.1	GO:0005634
C1G01390.1	GO:0005783
C1G01390.1	GO:0009507
C1G01400.1	GO:0005634
C1G01410.1	GO:0005737
C1G01420.1	GO:0005783
C1G01420.1	GO:0005634
C1G01440.1	GO:0005634
C1G01450.1	GO:0005737
C1G01460.1	GO:0005634
C1G01470.1	GO:0005829
C1G01480.1	GO:0005737
C1G01490.1	GO:0005634
C1G01510.1	GO:0005829
C1G01520.1	GO:0005634
C1G01530.1	GO:0005634
C1G01540.2	GO:0005886
C1G01540.2	GO:0005886
C1G01540.2	GO:0005886
C1G01550.1	GO:0005886
C1G01550.1	GO:0005634
C1G01560.2	GO:0005634
C1G01560.2	GO:0005829
C1G01570.1	GO:0005783
C1G01570.1	GO:0005794
C1G01580.1	GO:0005634
C1G01590.1	GO:0005886
C1G01610.1	GO:0009507
C1G01620.1	GO:0005886
C1G01620.1	GO:0009507
C1G01620.1	GO:0005886
C1G01620.1	GO:0005886
C1G01620.1	GO:0016020
C1G01630.1	GO:0005634
C1G01640.1	GO:0005737
C1G01650.1	GO:0005886
C1G01660.1	GO:0005634
C1G01670.1	GO:0005634
C1G01680.1	GO:0005634
C1G01690.1	GO:0005634
C1G01695.1	GO:0005634
C1G01700.1	GO:0005634
C1G01710.1	GO:0005777
C1G01710.1	GO:0005777
C1G01720.1	GO:0005634
C1G01730.1	GO:0005634
C1G01740.1	GO:0005886
C1G01740.1	GO:0005886
C1G01750.1	GO:0005634
C1G01760.1	GO:0005634
C1G01770.1	GO:0005634
C1G01780.1	GO:0005737
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009941
C1G01790.1	GO:0009507
C1G01790.1	GO:0009941
C1G01790.1	GO:0009507
C1G01800.1	GO:0005737
C1G01810.1	GO:0005634
C1G01820.1	GO:0009506
C1G01840.1	GO:0009507
C1G01860.1	GO:0005737
C1G01880.1	GO:0005634
C1G01900.1	GO:0005576
C1G01900.1	GO:0005618
C1G01920.1	GO:0005634
C1G01930.1	GO:0005737
